"","Provider_Name","Difference","Percent"
"1","A GRACE SUB ACUTE & SKILLED CARE",-0.000919999999999997,"-1.78%"
"2","A HOLLY PATTERSON EXTENDED CARE FACILITY",0.00294,"194.7%"
"3","A MERKLE C KNIPPRATH N H",-0.05375,"-61.71%"
"4","A.G. RHODES HOME, INC - COBB",-4.00000000000001e-05,"-0.62%"
"5","AARON MANOR REHABILITATION & NURSING CENTER",-0.00453,"-23.45%"
"6","AASE HAUGEN HOME",0.01306,"66.09%"
"7","ABBEVILLE NURSING HOME, INC.",-0.01692,"-100%"
"8","ABBEY DELRAY SOUTH",-0.00029,"-1.88%"
"9","ABBEY WOODS CENTER FOR REHABILITATION AND HEALING",0.01589,"35.9%"
"10","ABBIEJEAN RUSSELL CARE CENTER LLC",0.00196,"20.23%"
"11","ABBINGTON REHAB & NURSING CTR",0.01593,"140.35%"
"12","ABBOTT TERR HEALTH CTR",-0.01578,"-46.34%"
"13","ABC HEALTH CARE",-0.01742,"-100%"
"14","ABCM REHAB CENTERS OF INDEPENDENCE EAST CAMPUS",-0.02056,"-33.86%"
"15","ABCM REHAB CENTERS OF INDEPENDENCE WEST CAMPUS",-0.03364,"-49.81%"
"16","ABERCORN REHABILITATION CENTER",0.00965,"89.85%"
"17","ABERDEEN HEALTH AND REHAB",-0.02603,"-100%"
"18","ABERDEEN REHABILITATION AND SKILLED NURSING CENTER",-0.00945,"-37.4%"
"19","ABINGDON CARE & REHABILITATION CENTER",-0.0094,"-47.81%"
"20","ABINGDON HEALTH CARE LLC",-0.0043,"-21.79%"
"21","ABINGTON CREST HEALTH AND REHABILITATION CENTER",-0.01899,"-100%"
"22","ABINGTON MANOR",-0.00899,"-45.36%"
"23","ABINGTON OF GLENVIEW NURSING",-0.00412,"-6%"
"24","ABRAMSON RESIDENCE",0.00107,"8.11%"
"25","ABSECON MANOR NURS/REHAB CNTR",-0.000710000000000001,"-4.56%"
"26","ABSOLUT CTR FOR NURSING & REHAB AURORA PARK L L C",0.000779999999999999,"5.71%"
"27","ABSOLUT CTR FOR NURSING & REHAB ENDICOTT L L C",0.01371,"44.14%"
"28","ABSOLUT CTR FOR NURSING & REHAB GASPORT L L C",-0.01527,"-55.71%"
