"","Provider_Name","Difference","Percent"
"1",1001,0.007218,"69.74%"
"2",1013,0.011455,"185.06%"
"3",1028,-0.00352666666666667,"-11.81%"
"4",1036,-0.00859,"-100%"
"5",1040,-0.00336571428571429,"-36.29%"
"6",1053,7e-04,"11.35%"
"7",1075,-0.00186,"-10.03%"
"8",1085,0.00393666666666667,"36.2%"
"9",1089,-0.00585,"-19.96%"
"10",1095,0.00408,"14.7%"
"11",1201,-0.0030625,"-18.13%"
"12",1226,-0.00577,"-18.2%"
"13",1230,-0.00166333333333333,"-15.3%"
"14",1238,0.00371,"18.07%"
"15",1267,-9e-04,"-9.68%"
"16",1301,0.0112,"55.93%"
"17",1331,0.00804,"49.72%"
"18",1376,-0.01763,"-100%"
"19",1420,-0.00708333333333333,"-17.45%"
"20",1432,-0.00891,"-31.95%"
"21",1436,-0.00177,"-17.88%"
"22",1440,0.00597,"106.7%"
"23",1453,-0.011545,"-75.73%"
"24",1460,-0.00457,"-20.65%"
"25",1501,-0.02547,"-100%"
"26",1507,0.01107,"125.65%"
"27",1520,-0.02613,"-49.02%"
"28",1523,-0.01235,"-100%"
"29",1532,-0.00448,"-100%"
"30",1534,-0.01078,"-51.85%"
"31",1540,-0.02085,"-41.86%"
"32",1542,0.01831,"58.07%"
"33",1545,0.00846,"78.26%"
"34",1564,-0.0051,"-15.41%"
"35",1569,-0.00518,"-18.19%"
"36",1570,-0.00172,"-10.31%"
"37",1581,0.00136333333333333,"9.21%"
"38",1583,-0.00931,"-100%"
"39",1585,-0.00037,"-4.93%"
"40",1588,-0.00223,"-4.27%"
"41",1602,-0.03266,"-78.25%"
"42",1603,0.00542,"79.24%"
"43",1604,0.002475,"25.48%"
"44",1605,-0.000285,"-3.73%"
"45",1606,-0.000449999999999999,"-2.24%"
"46",1609,-0.0093375,"-73.74%"
"47",1610,-0.00643,"-100%"
"48",1701,-0.002138,"-75.87%"
"49",1702,0.01008,"55.05%"
"50",1720,-0.00121,"-14.37%"
"51",1730,-0.00974,"-51.97%"
"52",1742,0.000980000000000002,"5.22%"
"53",1752,0.00317666666666667,"31.36%"
"54",1757,0.0232466666666667,"277.19%"
"55",1760,0.0007975,"6.43%"
"56",1776,0.006675,"51.72%"
"57",1801,-0.00029,"-3.72%"
"58",1810,-0.0068,"-22.87%"
"59",1824,-9.99999999999994e-05,"-0.49%"
"60",1830,-0.009656,"-39.39%"
"61",1832,0.000420000000000004,"0.66%"
"62",1841,-0.00204,"-13.88%"
"63",1844,-0.005985,"-100%"
"64",1845,-0.01323,"-53.74%"
"65",1850,-0.00713,"-54.72%"
"66",1851,-0.011755,"-62.39%"
"67",1852,-0.00059,"-2.05%"
"68",1854,0.000952,"6.54%"
"69",1864,-0.00972,"-54.45%"
"70",1867,-0.01389,"-82.56%"
"71",1876,-0.01451,"-52.9%"
"72",1880,-0.00017,"-2.37%"
"73",1886,0.0396,"68.16%"
"74",1887,-0.01127,"-100%"
"75",1890,-0.006085,"-51.18%"
"76",1902,0.00313,"7.58%"
"77",1906,0.00912,"97.23%"
"78",1908,-0.01242,"-24.01%"
"79",1913,-0.013695,"-64.83%"
"80",1915,-0.00566333333333333,"-40.98%"
"81",1923,-0.003446,"-18.48%"
"82",1930,0.009935,"135.45%"
"83",1945,-0.001285,"-15.54%"
"84",1950,0.00357666666666667,"84.49%"
"85",1960,-0.0048425,"-100%"
"86",1961,-0.00143,"-15.63%"
"87",1966,-0.01718,"-100%"
"88",1969,-0.0015,"-8.97%"
"89",1970,-0.00846,"-18.56%"
"90",1983,0.01252,"156.5%"
"91",2021,-0.000816666666666667,"-12.03%"
"92",2025,-0.0175,"-100%"
"93",2026,-0.00249666666666667,"-10.83%"
"94",2038,0.00308,"27.65%"
"95",2043,-0.00862666666666666,"-26.3%"
"96",2053,0.0224,"90.47%"
"97",2061,-0.00785,"-26.68%"
"98",2062,0.001245,"5.56%"
